31,63,46,4,3,18,0,24
33,66,52,2,10,16,0,39
35,69,60,0,1,42,0,0
28,55,39,3,2,12,14,15
30,61,48,1,6,20,0,22
27,53,41,4,0,11,0,38
34,67,55,2,8,37,0,0
32,63,34,0,5,14,9,30
29,59,29,3,9,8,16,18
36,70,50,1,7,39,0,0
25,51,37,4,4,13,0,35
30,62,46,2,10,22,0,19
34,66,62,0,1,9,12,31
28,54,33,3,2,41,0,0
31,64,44,1,6,15,0,39
27,52,36,4,3,24,0,20
33,65,53,2,8,10,10,28
35,68,47,0,5,36,0,0
29,57,31,3,9,12,0,41
30,60,58,1,7,8,15,18
26,52,40,4,0,21,0,23
32,62,49,2,10,38,0,0
37,71,61,0,1,14,0,36
28,54,35,3,2,6,19,16
31,63,42,1,6,23,0,21
27,53,27,4,4,40,0,0
34,66,59,2,8,12,0,42
33,64,45,0,5,17,8,29
29,58,38,3,9,22,0,24
36,69,54,1,7,35,0,0
25,50,34,4,3,7,18,15
30,61,47,2,10,13,0,37
34,65,63,0,1,39,0,0
28,55,41,3,2,10,9,28
32,63,50,1,6,24,0,20
27,53,39,4,0,12,0,40
35,68,52,2,8,41,0,0
33,64,30,0,5,9,10,30
29,57,28,3,9,15,14,11
30,60,44,1,7,13,0,35
31,63,47,4,3,19,0,26
33,66,54,2,10,14,0,40
35,69,58,0,1,43,0,0
28,55,36,3,2,13,15,16
30,61,49,1,6,22,0,23
27,53,42,4,0,12,0,39
34,67,57,2,8,38,0,0
32,63,35,0,5,16,8,31
29,59,30,3,9,9,17,19
36,70,52,1,7,40,0,0
25,51,38,4,4,14,0,36
30,62,45,2,10,21,0,20
34,66,61,0,1,10,11,30
28,54,34,3,2,42,0,0
31,64,43,1,6,17,0,38
27,52,37,4,3,25,0,22
33,65,55,2,8,11,9,27
35,68,46,0,5,37,0,0
29,57,32,3,9,13,0,42

